CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11088-54606,28-Apr-11,29-Mar-11,DENIED,H-2B,CA,1-Jan-11,31-Oct-11,IGUANA OF THE DESERT DBA MIKE'S CRATE AND FREIGHT,49950 JEFFERSON,SUITE 120,INDIO,CA,92201,MICHAEL VERNON SHIPPEE,FULLERTON,CA,209.687-026,Mail Clerk,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",MAIL CLERK,30,0,8,HR,8,HR
C-11013-53356,20-Jan-11,13-Jan-11,CERTIFIED,H-2B,CA,15-Feb-11,18-Oct-11,"BOGUEY CONCESSIONS, LLC.","42-335 WASHINGTON ST, SUITE F #428",,PALM DESERT,CA,92211,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,24,24,8.89,HR,355.6,HR
C-11207-55303,2-Aug-11,26-Jul-11,CERTIFIED,H-2B,CA,1-Oct-11,30-Apr-12,TRIANGLE BAR FARMS CORP,52-995 CALHOUN STREET,,COACHELLA,CA,92236,JENNIFER LYNN KUZMAN,SAN DIEGO,CA,410.674-022,Stable Attendant,392021,Nonfarm Animal Caretakers,STABLE ATTENDANT,2,2,8.8,HR,8.8,HR
C-11207-55299,5-Aug-11,26-Jul-11,CERTIFIED,H-2B,FL,1-Oct-11,30-Apr-12,TRIANGLE BAR FARMS CORP,52-995 CALHOUN STREET,,COACHELLA,CA,92236,JENNIFER LYNN KUZMAN,SAN DIEGO,CA,410.674-022,Stable Attendant,392021,Nonfarm Animal Caretakers,STABLE ATTENDANT,3,3,,,,
C-11007-53189,13-Jan-11,7-Jan-11,PARTIAL CERTIFIED,H-2B,CA,1-Mar-11,31-Oct-11,SAFARI ICE CREAM,930 S VELLA RD,,PALM SPRINGS,CA,92264,SARAH E FARRELL,VASS,NC,291.457-022,Vendor,419091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",VENDOR,40,39,8.69,HR,8.69,HR
C-10337-52127,7-Dec-10,3-Dec-10,CERTIFIED,H-2B,CA,15-Feb-11,30-Nov-11,"HELM & SONS AMUSEMENTS, INC",480 AGUA MANSA ROAD,,COLTON,CA,92324,"JAMES KENDRICK JUDKINS/ JKJ WORKFORCE AGENCY, INC.",RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,89,89,354.4,WK,354.4,WK
C-10340-52175,9-Dec-10,6-Dec-10,PARTIAL CERTIFIED,H-2B,IL,15-Feb-11,15-Nov-11,"UK INTERNATIONAL SOCCER CAMPS, INC.","525 AMIGOS DRIVE, SUITE 2",,REDLANDS,CA,92373,JANE C. CHIANG,CAMBRIDGE,MA,153.117-010,Head Coach,272022,Coaches and Scouts,HEAD COACH,75,74,8.2,HR,8.2,HR
C-10340-52174,8-Dec-10,6-Dec-10,CERTIFIED,H-2B,CA,15-Feb-11,15-Nov-11,"UK INTERNATIONAL SOCCER CAMPS, INC.","525 AMIGOS DRIVE, SUITE 2",,REDLANDS,CA,92373,JANE C. CHIANG,CAMBRIDGE,MA,153.117-010,Head Coach,272022,Coaches and Scouts,HEAD COACH,200,200,12.04,HR,12.04,HR
C-11241-55492,26-Sep-11,29-Aug-11,DENIED,H-2B,CA,22-Oct-11,22-Oct-12,RICHARD D. ROBILLARD DBA ROBILLARD ELDERLY HOME CA,6761 CAHUILLA ST.,,RIVERSIDE,CA,92509,,,,309.674-014,Personal Attendant,399021,Personal and Home Care Aides,PERSONAL ATTENDANT,1,0,8.5,HR,8.5,HR
C-10300-51372,1-Nov-10,27-Oct-10,CERTIFIED,H-2B,CA,1-Feb-11,15-Nov-11,"VICTOR MARCUS,INC. DBA VIC MARCUS CONCESSIONS",3337 W. FLORIDA AVE. PMB 243,,HEMET,CA,92545,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,13,13,,,,
